"","V1","V2"
"195",4.4,"2023-07-14"
"196",6.2,"2023-07-15"
"197",5.13430921036736,"2023-07-16"
"198",4.8,"2023-07-17"
"199",4.2,"2023-07-18"
"200",2,"2023-07-19"
"201",3.9,"2023-07-20"
"202",3.1,"2023-07-21"
"203",3.1,"2023-07-22"
"204",2.1,"2023-07-23"
"205",3.2,"2023-07-24"
"206",3.6,"2023-07-25"
"207",3.7,"2023-07-26"
"208",3.28069956995482,"2023-07-27"
"209",2.9,"2023-07-28"
"210",2.5,"2023-07-29"
"211",3.5,"2023-07-30"
"212",2,"2023-07-31"
"213",2.2,"2023-08-01"
"214",2.5,"2023-08-02"
"215",2.5,"2023-08-03"
"216",3.1,"2023-08-04"
"217",3.1,"2023-08-05"
"218",1.2,"2023-08-06"
"219",2.6,"2023-08-07"
"220",2.9,"2023-08-08"
"221",2.6,"2023-08-09"
"222",2.8,"2023-08-10"
"223",3,"2023-08-11"
"224",3.2,"2023-08-12"
"225",3.6,"2023-08-13"
"226",4.2,"2023-08-14"
"227",4.4,"2023-08-15"
"228",3.3,"2023-08-16"
"229",2.6,"2023-08-17"
"230",2.9,"2023-08-18"
"231",3.7,"2023-08-19"
"232",2.9,"2023-08-20"
"233",3.5,"2023-08-21"
"234",3,"2023-08-22"
"235",3.2,"2023-08-23"
"236",3.2,"2023-08-24"
"237",2.7,"2023-08-25"
"238",2.5,"2023-08-26"
"239",1.85360964041254,"2023-08-27"
"240",2.3,"2023-08-28"
"241",1.4,"2023-08-29"
"242",2,"2023-08-30"
"243",2.4,"2023-08-31"
"244",2.7,"2023-09-01"
"245",3,"2023-09-02"
"246",2.6,"2023-09-03"
"247",3.2,"2023-09-04"
"248",3.3,"2023-09-05"
"249",3.1,"2023-09-06"
"250",2.9,"2023-09-07"
"251",3.5,"2023-09-08"
"252",3.52938072468471,"2023-09-09"
"253",3,"2023-09-10"
"254",2.5,"2023-09-11"
"255",2.2,"2023-09-12"
"256",1,"2023-09-13"
"257",2.15360964041254,"2023-09-14"
"258",2.2,"2023-09-15"
"259",2.6,"2023-09-16"
"260",2,"2023-09-17"
"261",2.8,"2023-09-18"
"262",3.4,"2023-09-19"
"263",3.4,"2023-09-20"
"264",3.3,"2023-09-21"
"265",1.7,"2023-09-22"
"266",1.7,"2023-09-23"
"267",1.7,"2023-09-24"
"268",2.01008029463953,"2023-09-25"
"269",1.5,"2023-09-26"
"270",1.8,"2023-09-27"
"271",1.8,"2023-09-28"
"272",1.37577108427217,"2023-09-29"
"273",1.8,"2023-09-30"
"274",1.5,"2023-10-01"
"275",1.6,"2023-10-02"
"276",2,"2023-10-03"
"277",2.1,"2023-10-04"
"278",1.7,"2023-10-05"
"279",1.2,"2023-10-06"
"280",1.48069956995482,"2023-10-07"
"281",1.1,"2023-10-08"
"282",0.8,"2023-10-09"
"283",0.9,"2023-10-10"
"284",1.9,"2023-10-11"
"285",1.2,"2023-10-12"
"286",1.3,"2023-10-13"
"287",1.9,"2023-10-14"
"288",1.3,"2023-10-15"
"289",0.8,"2023-10-16"
"290",0.7,"2023-10-17"
"291",0.8,"2023-10-18"
"292",1.1,"2023-10-19"
"293",0.8,"2023-10-20"
"294",0.4,"2023-10-21"
"295",0.7,"2023-10-22"
"296",0.6,"2023-10-23"
"297",0.5,"2023-10-24"
"298",0.4,"2023-10-25"
"299",0.6,"2023-10-26"
"300",0.5,"2023-10-27"
"301",0.5,"2023-10-28"
"302",0.8,"2023-10-29"
"303",1,"2023-10-30"
"304",0.6,"2023-10-31"
"305",0.6,"2023-11-01"
"306",1,"2023-11-02"
"307",0.6,"2023-11-03"
"308",1,"2023-11-04"
"309",0.6,"2023-11-05"
"310",1.2,"2023-11-06"
"311",1,"2023-11-07"
"312",0.8,"2023-11-08"
"313",0.7,"2023-11-09"
"314",0.6,"2023-11-10"
"315",0.2,"2023-11-11"
"316",0.3,"2023-11-12"
"317",0.4,"2023-11-13"
"318",0.9,"2023-11-14"
"319",0.5,"2023-11-15"
"320",0.6,"2023-11-16"
"321",0.4,"2023-11-17"
"322",0.2,"2023-11-18"
"323",0.6,"2023-11-19"
"324",0.4,"2023-11-20"
"325",0.634309210367361,"2023-11-21"
"326",0.5,"2023-11-22"
"327",1,"2023-11-23"
"328",0.9,"2023-11-24"
"329",0.6,"2023-11-25"
"330",0.4,"2023-11-26"
"331",0.1,"2023-11-27"
"332",0.3,"2023-11-28"
"333",0.3,"2023-11-29"
"334",0.2,"2023-11-30"
"335",0.1,"2023-12-01"
"336",0.2,"2023-12-02"
"337",0.2,"2023-12-03"
"338",0.3,"2023-12-04"
"339",0.5,"2023-12-05"
"340",0.3,"2023-12-06"
"341",0.2,"2023-12-07"
"342",0.3,"2023-12-08"
"343",0.2,"2023-12-09"
"344",0.3,"2023-12-10"
"345",0.3,"2023-12-11"
"346",0.3,"2023-12-12"
"347",0.4,"2023-12-13"
"348",0.353609640412537,"2023-12-14"
"349",0.3,"2023-12-15"
"350",0.5,"2023-12-16"
"351",1,"2023-12-17"
"352",0.7,"2023-12-18"
"353",0.5,"2023-12-19"
"354",0.7,"2023-12-20"
"355",0.9,"2023-12-21"
"356",1.9,"2023-12-22"
"357",0.9,"2023-12-23"
"358",0.6,"2023-12-24"
"359",1.3,"2023-12-25"
"360",0.8,"2023-12-26"
"361",0.3,"2023-12-27"
"362",1.1,"2023-12-28"
"363",1.1,"2023-12-29"
"364",0.6,"2023-12-30"
"365",0.4,"2023-12-31"
