"","water_pressure","irrigation_radius"
"1",3.5,29.52
"2",3.6,29.781
"3",3.7,30.042
"4",3.8,30.303
"5",3.9,30.564
"6",4,30.825
"7",4.1,31.041
"8",4.2,31.257
"9",4.3,31.473
"10",4.4,31.689
"11",4.5,31.905
"12",4.6,32.121
"13",4.7,32.337
"14",4.8,32.553
"15",4.9,32.769
"16",5,32.985
"17",5.1,33.1695
"18",5.2,33.354
"19",5.3,33.5385
"20",5.4,33.723
"21",5.5,33.9075
"22",5.6,34.092
"23",5.7,34.2765
"24",5.8,34.461
"25",5.9,34.6455
"26",6,34.83
