"","water_pressure","irrigation_radius"
"1",3.5,27.36
"2",3.6,27.621
"3",3.7,27.882
"4",3.8,28.143
"5",3.9,28.404
"6",4,28.665
"7",4.1,28.872
"8",4.2,29.079
"9",4.3,29.286
"10",4.4,29.493
"11",4.5,29.7
"12",4.6,29.907
"13",4.7,30.114
"14",4.8,30.321
"15",4.9,30.528
"16",5,30.735
"17",5.1,30.8925
"18",5.2,31.05
"19",5.3,31.2075
"20",5.4,31.365
"21",5.5,31.5225
"22",5.6,31.68
"23",5.7,31.8375
"24",5.8,31.995
"25",5.9,32.1525
"26",6,32.31
