"","water_pressure","irrigation_radius"
"1",3.5,34.2
"2",3.6,34.398
"3",3.7,34.596
"4",3.8,34.794
"5",3.9,34.992
"6",4,35.19
"7",4.1,35.451
"8",4.2,35.712
"9",4.3,35.973
"10",4.4,36.234
"11",4.5,36.495
"12",4.6,36.756
"13",4.7,37.017
"14",4.8,37.278
"15",4.9,37.539
"16",5,37.8
"17",5.1,37.98
"18",5.2,38.16
"19",5.3,38.34
"20",5.4,38.52
"21",5.5,38.7
"22",5.6,38.88
"23",5.7,39.06
"24",5.8,39.24
"25",5.9,39.42
"26",6,39.6
