"","water_pressure","irrigation_radius"
"1",3.5,39.6
"2",3.6,39.888
"3",3.7,40.176
"4",3.8,40.464
"5",3.9,40.752
"6",4,41.04
"7",4.1,41.292
"8",4.2,41.544
"9",4.3,41.796
"10",4.4,42.048
"11",4.5,42.3
"12",4.6,42.552
"13",4.7,42.804
"14",4.8,43.056
"15",4.9,43.308
"16",5,43.56
"17",5.1,43.812
"18",5.2,44.064
"19",5.3,44.316
"20",5.4,44.568
"21",5.5,44.82
"22",5.6,45.072
"23",5.7,45.324
"24",5.8,45.576
"25",5.9,45.828
"26",6,46.08
