"","water_pressure","irrigation_radius"
"1",3.5,31.68
"2",3.6,31.941
"3",3.7,32.202
"4",3.8,32.463
"5",3.9,32.724
"6",4,32.985
"7",4.1,33.237
"8",4.2,33.489
"9",4.3,33.741
"10",4.4,33.993
"11",4.5,34.245
"12",4.6,34.497
"13",4.7,34.749
"14",4.8,35.001
"15",4.9,35.253
"16",5,35.505
"17",5.1,35.6985
"18",5.2,35.892
"19",5.3,36.0855
"20",5.4,36.279
"21",5.5,36.4725
"22",5.6,36.666
"23",5.7,36.8595
"24",5.8,37.053
"25",5.9,37.2465
"26",6,37.44
