"","water_pressure","irrigation_radius"
"1",3.5,36.36
"2",3.6,36.576
"3",3.7,36.792
"4",3.8,37.008
"5",3.9,37.224
"6",4,37.44
"7",4.1,37.692
"8",4.2,37.944
"9",4.3,38.196
"10",4.4,38.448
"11",4.5,38.7
"12",4.6,38.952
"13",4.7,39.204
"14",4.8,39.456
"15",4.9,39.708
"16",5,39.96
"17",5.1,40.176
"18",5.2,40.392
"19",5.3,40.608
"20",5.4,40.824
"21",5.5,41.04
"22",5.6,41.256
"23",5.7,41.472
"24",5.8,41.688
"25",5.9,41.904
"26",6,42.12
